Participant_ID;Gender;Nationality;Age;Food;Juice;Dessert
FPS001;Male;Indian;24;Traditional food;Fresh Juice;Maybe
FPS002;Female;Indian;22;Western Food;Carbonated drinks;Yes
FPS003;Male;Indian;31;Western Food;Fresh Juice;Maybe
FPS004;Female;Indian;25;Traditional food;Fresh Juice;Maybe
FPS005;Male;Indian;27;Traditional food;Fresh Juice;Maybe
FPS006;Male;Indian;24;Traditional food;Fresh Juice;Yes
FPS007;Female;Indian;34;Traditional food;Fresh Juice;Yes
FPS008;Male;Pakistani ;24;Western Food;Carbonated drinks;Yes
FPS009;Female;Indian;19;Traditional food;Fresh Juice;Yes
FPS010;Female;Indian;16;Western Food;Fresh Juice;Yes
FPS011;Male;Tanzanian;23;Traditional food;Fresh Juice;No
FPS012;Female;Indian;22;Traditional food;Fresh Juice;Yes
FPS013;Female;Indonesia;22;Traditional food;Fresh Juice;Maybe
FPS014;Female;Indian;24;Western Food;Carbonated drinks;Yes
FPS016;Male;Pakistan;25;Traditional food;Fresh Juice;Maybe
FPS017;Male;Maldivian ;26;Traditional food;Fresh Juice;No
FPS018;Male;MY;22;Traditional food;Fresh Juice;No
FPS019;Female;Malaysian;38;Traditional food;Fresh Juice;Maybe
FPS020;Female;Indian;31;Traditional food;Fresh Juice;Maybe
FPS021;Male;Malaysian ;21;Traditional food;Carbonated drinks;Maybe
FPS022;Male;Indonesia;20;Traditional food;Fresh Juice;Maybe
FPS023;Male;Malaysian;20;Western Food;Fresh Juice;Maybe
FPS024;Male;Malaysian;22;Western Food;Fresh Juice;Yes
FPS025;Male;Malaysian;20;Traditional food;Fresh Juice;Yes
FPS026;Female;Indonesian ;24;Traditional food;Fresh Juice;Yes
FPS027;Male;Indian;43;Traditional food;Fresh Juice;Maybe
FPS028;Female;Maldivian;29;Western Food;Fresh Juice;Yes
FPS029;Male;Indian;39;Traditional food;Fresh Juice;Yes
FPS030;Male;Indian;26;Traditional food;Fresh Juice;Yes
FPS031;Male;MALAYSIAN;21;Traditional food;Carbonated drinks;Maybe
FPS032;Female;MY;40;Western Food;Fresh Juice;Yes
FPS033;Male;Indian;13;Western Food;Fresh Juice;Maybe
FPS034;Male;Indian;13;Western Food;Fresh Juice;Maybe
FPS035;Male;Indian;13;Western Food;Fresh Juice;Maybe
FPS036;Male;Malaysia ;24;Western Food;Fresh Juice;Yes
FPS037;Male;Indian;13;Western Food;Fresh Juice;Maybe
FPS038;Male;Indian;24;Traditional food;Fresh Juice;Yes
FPS039;Male;Malaysian;21;Traditional food;Fresh Juice;Maybe
FPS040;Female;Indian;34;Traditional food;Fresh Juice;Maybe
FPS041;Female;Pakistani ;18;Traditional food;Fresh Juice;Maybe
FPS042;Male;Pakistani;26;Traditional food;Fresh Juice;Yes
FPS043;Male;Canadian;24;Western Food;Fresh Juice;Yes
FPS044;Male;Pakistani;60;Traditional food;Carbonated drinks;Yes
FPS045;Male;Malaysian;21;Western Food;Carbonated drinks;Yes
FPS046;Female;Nigerian ;21;Traditional food;Fresh Juice;Yes
FPS047;Male;Pakistani;24;Western Food;Fresh Juice;Yes
FPS048;Male;Indian;25;Western Food;Fresh Juice;Yes
FPS049;Male;Indian;23;Traditional food;Fresh Juice;Maybe
FPS050;Female;Algerian ;25;Traditional food;Fresh Juice;Yes
FPS051;Female;Indian;22;Traditional food;Fresh Juice;Maybe
FPS052;Male;Korean ;27;Western Food;Fresh Juice;No
FPS053;Male;Indian;26;Traditional food;Fresh Juice;No
FPS054;Female;Indian;30;Traditional food;Fresh Juice;Yes
FPS055;Female;Indian;25;Traditional food;Fresh Juice;Maybe
FPS056;Male;Indian;23;Western Food;Carbonated drinks;Yes
FPS057;Female;Indian;25;Traditional food;Fresh Juice;Yes
FPS058;Male;Indian;21;Traditional food;Fresh Juice;Maybe
FPS059;Male;Indian;47;Traditional food;Fresh Juice;No
FPS060;Male;Indian;21;Western Food;Carbonated drinks;Maybe
FPS061;Female;Indian;25;Traditional food;Fresh Juice;Maybe
FPS062;Female;Indian;30;Western Food;Fresh Juice;Maybe
FPS063;Female;Indian;54;Traditional food;Carbonated drinks;Yes
FPS064;Male;Seychellois;23;Traditional food;Carbonated drinks;Maybe
FPS065;Male;Indian;27;Traditional food;Carbonated drinks;Maybe
FPS066;Male;Indian;74;Traditional food;Fresh Juice;Yes
FPS067;Female;Indian;27;Traditional food;Fresh Juice;Yes
FPS068;Male;Indonesia;19;Traditional food;Fresh Juice;Maybe
FPS069;Male;Indonesain;19;Western Food;Carbonated drinks;Yes
FPS070;Female;Indian;80;Traditional food;Fresh Juice;Yes
FPS071;Female;Indian;25;Traditional food;Fresh Juice;No
FPS072;Male;Indian;34;Traditional food;Fresh Juice;Maybe
FPS073;Female;Indonesian;19;Traditional food;Fresh Juice;Yes
FPS074;Female;Indian;80;Traditional food;Fresh Juice;Yes
FPS075;Female;Indian;33;Traditional food;Carbonated drinks;Yes
FPS076;Male;Indian;33;Traditional food;Fresh Juice;Yes
FPS077;Female;Indian;40;Traditional food;Fresh Juice;Maybe
FPS078;Male;Malaysia;21;Traditional food;Fresh Juice;Yes
FPS079;Male;Indian;36;Traditional food;Fresh Juice;Yes
FPS080;Female;Indian;28;Traditional food;Fresh Juice;No
FPS081;Female;Indian;28;Traditional food;Fresh Juice;No
FPS082;Female;Malaysian;19;Traditional food;Fresh Juice;Yes
FPS083;Female;Indian;21;Traditional food;Fresh Juice;Yes
FPS084;Female;Indian;40;Traditional food;Fresh Juice;No
FPS085;Male;Japan;28;Traditional food;Fresh Juice;Maybe
FPS086;Female;Indian;32;Traditional food;Fresh Juice;Maybe
FPS087;Female;Indian;38;Traditional food;Fresh Juice;Yes
FPS088;Female;Indian;36;Traditional food;Fresh Juice;No
FPS089;Female;Malaysian;30;Traditional food;Fresh Juice;Yes
FPS090;Male;Indonesia;19;Traditional food;Fresh Juice;Maybe
FPS091;Female;Indian;60;Traditional food;Fresh Juice;No
FPS092;Female;Malaysian;20;Traditional food;Fresh Juice;Yes
FPS093;Female;Indian;39;Western Food;Fresh Juice;No
FPS094;Male;Indonesia;22;Traditional food;Fresh Juice;Maybe
FPS095;Female;China;23;Traditional food;Fresh Juice;No
FPS096;Female;Indian;31;Western Food;Carbonated drinks;Yes
FPS097;Female;Indian;31;Western Food;Carbonated drinks;Maybe
FPS098;Female;Mauritian;23;Traditional food;Fresh Juice;Maybe
FPS099;Male;Indian;23;Traditional food;Carbonated drinks;Yes
FPS100;Female;Japan;34;Western Food;Fresh Juice;Maybe
FPS101;Female;Indian;25;Traditional food;Fresh Juice;Maybe
FPS102;Male;Indian;38;Traditional food;Fresh Juice;Yes
FPS103;Male;Malaysian;19;Traditional food;Fresh Juice;Yes
FPS104;Female;Indian;19;Western Food;Fresh Juice;Maybe
FPS105;Female;Indian;24;Traditional food;Fresh Juice;Yes
FPS106;Female;Indian;20;Traditional food;Fresh Juice;Yes
FPS107;Female;Indian;20;Traditional food;Fresh Juice;Yes
FPS108;Female;Indian;54;Traditional food;Fresh Juice;Yes
FPS109;Male;Indian;22;Western Food;Carbonated drinks;Yes
FPS110;Female;Indian;16;Western Food;Fresh Juice;Yes
FPS111;Male;Indian;23;Western Food;Fresh Juice;Yes
FPS112;Female;Indian;47;Traditional food;Fresh Juice;No
FPS113;Male;Indian;54;Traditional food;Fresh Juice;No
FPS114;Female;Indian;54;Traditional food;Fresh Juice;No
FPS115;Male;Yemen;30;Traditional food;Fresh Juice;Yes
FPS116;Male;Indian;23;Traditional food;Fresh Juice;Yes
FPS117;Female;Indian;32;Traditional food;Fresh Juice;Maybe
FPS118;Female;Indian;29;Traditional food;Fresh Juice;Yes
FPS119;Female;Indian;8;Traditional food;Fresh Juice;No
FPS120;Female;Indian;26;Traditional food;Fresh Juice;Yes
FPS121;Female;Indian;27;Traditional food;Fresh Juice;Maybe
FPS122;Male;Indian;12;Traditional food;Fresh Juice;No
FPS123;Female;Indian;29;Western Food;Fresh Juice;No
FPS124;Male;Indian;19;Traditional food;Fresh Juice;Maybe
FPS125;Male;Indian;56;Traditional food;Carbonated drinks;Yes
FPS126;Female;Indian;53;Traditional food;Carbonated drinks;Maybe
FPS127;Male;Indonesia;20;Traditional food;Fresh Juice;Maybe
FPS128;Male;Indonesia;19;Traditional food;Fresh Juice;Maybe
FPS129;Female;Indian;33;Traditional food;Fresh Juice;Maybe
FPS130;Male;Indian;26;Traditional food;Fresh Juice;Maybe
FPS131;Female;Indian;31;Traditional food;Fresh Juice;Maybe
FPS132;Male;Indian;29;Traditional food;Fresh Juice;No
FPS133;Female;Indian;32;Traditional food;Fresh Juice;No
FPS134;Female;Indian;39;Traditional food;Fresh Juice;Maybe
FPS135;Female;Indian;28;Traditional food;Fresh Juice;Yes
FPS136;Female;Indian;30;Traditional food;Fresh Juice;Maybe
FPS137;Female;Maldivian;28;Western Food;Carbonated drinks;Maybe
FPS138;Female;Indian;30;Traditional food;Fresh Juice;Maybe
FPS139;Male;Indian;59;Traditional food;Fresh Juice;No
FPS140;Male;Indian;67;Traditional food;Fresh Juice;No
FPS141;Female;Indian;63;Traditional food;Fresh Juice;Maybe
FPS142;Male;Indian;18;Western Food;Carbonated drinks;Yes
FPS143;Female;Indian;37;Traditional food;Fresh Juice;Yes
FPS144;Female;Indian;38;Traditional food;Fresh Juice;No
FPS145;Male;Indian;38;Traditional food;Fresh Juice;Yes
FPS146;Male;Indian;25;Western Food;Fresh Juice;Maybe
FPS147;Female;Indian;24;Traditional food;Fresh Juice;Yes
FPS148;Female;Indian;33;Traditional food;Fresh Juice;Maybe
FPS149;Female;Indian;40;Traditional food;Fresh Juice;Maybe
FPS150;Male;Indian;28;Traditional food;Fresh Juice;Maybe
FPS151;Male;Indian;27;Western Food;Fresh Juice;Yes
FPS152;Male;Indian;24;Traditional food;Fresh Juice;Yes
FPS153;Male;Indian;25;Traditional food;Fresh Juice;Yes
FPS154;Male;Indian;28;Traditional food;Fresh Juice;Yes
FPS155;Male;Indian;15;Western Food;Carbonated drinks;Yes
FPS156;Female;Indian;40;Traditional food;Fresh Juice;Maybe
FPS157;Female;Indian;35;Traditional food;Fresh Juice;Yes
FPS158;Male;Indian;9;Traditional food;Fresh Juice;Maybe
FPS159;Male;Indian;30;Traditional food;Carbonated drinks;Maybe
FPS160;Male;Indian;24;Traditional food;Fresh Juice;Maybe
FPS161;Male;Indian;28;Western Food;Fresh Juice;Maybe
FPS162;Female;Indian;65;Traditional food;Fresh Juice;No
FPS163;Female;Indian;25;Traditional food;Fresh Juice;Maybe
FPS164;Female;Indian;33;Traditional food;Fresh Juice;Maybe
FPS165;Male;Indian;33;Traditional food;Fresh Juice;Maybe
FPS166;Female;Indian;27;Traditional food;Fresh Juice;Maybe
FPS167;Female;Indian;27;Traditional food;Fresh Juice;Yes
FPS168;Male;Indian;26;Traditional food;Fresh Juice;No
FPS169;Female;Indian;25;Traditional food;Fresh Juice;Yes
FPS170;Female;Indian;25;Traditional food;Carbonated drinks;Yes
FPS171;Male;Indian;34;Traditional food;Fresh Juice;No
FPS172;Female;Indian;25;Traditional food;Fresh Juice;Yes
FPS173;Female;Indian;26;Western Food;Carbonated drinks;Maybe
FPS174;Female;Indian;21;Traditional food;Fresh Juice;Yes
FPS175;Female;Indian;26;Traditional food;Fresh Juice;No
FPS176;Female;Indian;25;Traditional food;Carbonated drinks;Maybe
FPS177;Male;Indian;30;Traditional food;Fresh Juice;Maybe
FPS178;Male;Indian;9;Western Food;Fresh Juice;Yes
FPS179;Female;Indian;39;Traditional food;Fresh Juice;Maybe
FPS180;Female;Indian;35;Traditional food;Fresh Juice;No
FPS181;Female;Indian;30;Traditional food;Fresh Juice;Maybe
FPS182;Female;Indian;45;Traditional food;Fresh Juice;Maybe
FPS183;Female;Indian;38;Traditional food;Fresh Juice;Maybe
FPS184;Female;Indian;30;Traditional food;Fresh Juice;Maybe
FPS185;Female;Indian;35;Western Food;Fresh Juice;Yes
FPS186;Female;Indian;40;Traditional food;Fresh Juice;Maybe
FPS187;Female;Indian;29;Traditional food;Fresh Juice;Yes
FPS188;Female;Indian;45;Traditional food;Fresh Juice;Maybe
FPS189;Female;Indian;33;Traditional food;Fresh Juice;Yes
FPS190;Female;Indian;35;Traditional food;Fresh Juice;No
FPS191;Female;Indian;50;Traditional food;Fresh Juice;Yes
FPS192;Male;Indian;23;Traditional food;Fresh Juice;Yes
FPS193;Female;Indian;40;Traditional food;Fresh Juice;Maybe
FPS194;Female;Indian;50;Traditional food;Fresh Juice;Maybe
FPS195;Male;Indian;31;Traditional food;Fresh Juice;Maybe
FPS196;Female;Indian;33;Traditional food;Fresh Juice;No
FPS197;Female;Indian;37;Traditional food;Fresh Juice;No
FPS198;Female;Indian;35;Traditional food;Fresh Juice;No
FPS199;Female;Indian;49;Traditional food;Fresh Juice;Maybe
FPS200;Female;Indian;42;Traditional food;Fresh Juice;Maybe
FPS201;Female;Indian;31;Traditional food;Fresh Juice;Maybe
FPS202;Male;Indian;34;Traditional food;Fresh Juice;Yes
FPS203;Female;Indian;51;Traditional food;Fresh Juice;No
FPS204;Female;Indian;39;Traditional food;Fresh Juice;No
FPS205;Female;Indian;28;Traditional food;Fresh Juice;Maybe
FPS206;Female;Indian;23;Traditional food;Fresh Juice;Maybe
FPS207;Female;Indian;24;Traditional food;Fresh Juice;Maybe
FPS208;Female;Indian;40;Traditional food;Fresh Juice;No
FPS209;Female;Indian;37;Traditional food;Fresh Juice;Maybe
FPS210;Female;Indian;30;Traditional food;Fresh Juice;No
FPS211;Female;Indian;34;Traditional food;Fresh Juice;No
FPS212;Female;Indian;37;Traditional food;Fresh Juice;Yes
FPS213;Female;Indian;45;Traditional food;Fresh Juice;No
FPS214;Female;Indian;21;Traditional food;Carbonated drinks;Maybe
FPS215;Female;Indian;28;Traditional food;Fresh Juice;Maybe
FPS216;Female;Indian;24;Western Food;Fresh Juice;Maybe
FPS217;Female;Indian;24;Western Food;Fresh Juice;Maybe
FPS218;Female;Indian;37;Traditional food;Fresh Juice;No
FPS219;Female;Indian;44;Traditional food;Fresh Juice;Maybe
FPS220;Male;Indian;30;Traditional food;Fresh Juice;Yes
FPS221;Female;Indian;40;Traditional food;Fresh Juice;Maybe
FPS222;Male;Indian;38;Traditional food;Fresh Juice;No
FPS223;Female;Indian;33;Traditional food;Fresh Juice;Maybe
FPS224;Female;Indian;38;Traditional food;Fresh Juice;Maybe
FPS225;Male;Indian;38;Traditional food;Fresh Juice;Yes
FPS227;Female;Indian;37;Traditional food;Fresh Juice;Maybe
FPS228;Female;Indian;34;Traditional food;Fresh Juice;Yes
FPS229;Female;Indian;56;Traditional food;Fresh Juice;No
FPS230;Male;Indian;40;Western Food;Fresh Juice;Maybe
FPS231;Male;Indian;38;Traditional food;Fresh Juice;Maybe
FPS232;Female;Indian;42;Traditional food;Carbonated drinks;Maybe
FPS233;Female;Indian;24;Western Food;Fresh Juice;Yes
FPS234;Female;Indian;25;Western Food;Fresh Juice;Maybe
FPS235;Female;Indian;36;Traditional food;Fresh Juice;No
FPS236;Male;Indian;18;Traditional food;Fresh Juice;Maybe
FPS237;Female;Indian;30;Traditional food;Fresh Juice;Yes
FPS238;Female;Indian;39;Traditional food;Fresh Juice;Yes
FPS239;Female;Indian;45;Traditional food;Fresh Juice;Maybe
FPS240;Female;Indian;24;Traditional food;Fresh Juice;Maybe
FPS241;Male;Indian;9;Traditional food;Fresh Juice;Yes
FPS242;Female;Indian;50;Traditional food;Fresh Juice;Yes
FPS243;Female;Indian;22;Western Food;Fresh Juice;Maybe
FPS244;Female;Indian;40;Traditional food;Fresh Juice;Yes
FPS245;Female;Indian;36;Traditional food;Fresh Juice;Maybe
FPS246;Female;Indian;35;Traditional food;Fresh Juice;Yes
FPS247;Female;Indian;35;Traditional food;Fresh Juice;No
FPS248;Female;Indian;40;Traditional food;Fresh Juice;No
FPS249;Female;Indian;32;Traditional food;Fresh Juice;Maybe
FPS250;Female;Indian;28;Traditional food;Fresh Juice;Yes
FPS251;Female;Indian;25;Traditional food;Fresh Juice;Maybe
FPS252;Female;Indian;27;Traditional food;Fresh Juice;Yes
FPS253;Female;Indian;28;Traditional food;Fresh Juice;Maybe
FPS254;Female;Indian;38;Traditional food;Fresh Juice;Maybe
FPS255;Female;Indian;17;Traditional food;Fresh Juice;No
FPS256;Male;Indian;42;Traditional food;Fresh Juice;Maybe
FPS257;Female;Indian;42;Traditional food;Fresh Juice;Yes
FPS258;Female;Indian;37;Traditional food;Fresh Juice;Yes
FPS259;Female;Indian;42;Traditional food;Fresh Juice;No
FPS260;Female;Indian;37;Traditional food;Fresh Juice;Yes
FPS261;Female;Indian;46;Traditional food;Fresh Juice;No
FPS262;Female;Indian;36;Traditional food;Fresh Juice;Maybe
FPS263;Male;Indian;26;Traditional food;Fresh Juice;Yes
FPS264;Male;Indian;27;Traditional food;Fresh Juice;No
FPS265;Male;Indian;25;Traditional food;Fresh Juice;Yes
FPS266;Male;Indian;27;Western Food;Fresh Juice;Yes
FPS267;Male;Indian;27;Traditional food;Fresh Juice;Yes
FPS268;Male;Indian;25;Traditional food;Fresh Juice;Maybe
FPS270;Male;Indian;26;Traditional food;Fresh Juice;Maybe
FPS271;Male;Indian;23;Traditional food;Carbonated drinks;Yes
FPS272;Male;Indian;28;Traditional food;Fresh Juice;Maybe
FPS273;Male;Indian;23;Traditional food;Fresh Juice;Maybe
FPS274;Female;Indian;22;Traditional food;Fresh Juice;Maybe
FPS275;Male;Indian;29;Western Food;Fresh Juice;Maybe
FPS276;Male;Indian;30;Traditional food;Fresh Juice;Maybe
FPS277;Male;Indian;28;Traditional food;Carbonated drinks;Yes
FPS279;Male;Indian;25;Traditional food;Carbonated drinks;Yes
FPS280;Male;Indian;24;Traditional food;Fresh Juice;Maybe
FPS281;Male;Indian;25;Traditional food;Fresh Juice;Maybe
FPS282;Male;Indian;27;Traditional food;Fresh Juice;Maybe
FPS283;Male;Indian;27;Traditional food;Fresh Juice;No
FPS284;Male;Indian;27;Western Food;Fresh Juice;Yes
FPS285;Male;Indian;24;Traditional food;Fresh Juice;Yes
FPS286;Male;Indian;25;Traditional food;Fresh Juice;Yes
FPS287;Male;Indian;27;Traditional food;Fresh Juice;Yes
FPS288;Male;Indian;27;Traditional food;Fresh Juice;No
